slug,file
blog/designing-resilient-bounded-contexts-residuality-theory-ddd/attachment/blog-posts-user-needs-map,/wp-content/uploads/2023/12/Blog-posts-User-needs-map-scaled.jpg
blog/overcoming-additive-bias-software-design/attachment/blog-posts-copy-of-bounded-context,/wp-content/uploads/2024/01/Blog-posts-Copy-of-Bounded-Context-scaled.jpg
book_collaborative_session,/wp-content/uploads/2023/10/book_collaborative_session.jpg
book_csd,/wp-content/uploads/2023/10/book_csd.png
book_csd-2,/wp-content/uploads/2023/10/book_csd-1.png
book_domain_driven_design,/wp-content/uploads/2023/10/book_domain_driven_design.jpg
book_visual_collaboration_tools,/wp-content/uploads/2023/10/book_visual_collaboration_tools.jpg
bruno_boucard_portrait,/wp-content/uploads/2023/11/bruno_boucard_portrait.jpg
conference_talk,/wp-content/uploads/2023/10/conference_talk.png
consultancy_kenny,/wp-content/uploads/2023/10/consultancy_kenny.png
cropped-favicon_weaveit-png,/wp-content/uploads/2023/10/cropped-favicon_weaveit.png
ddd_model_exploration_whirlpool,/wp-content/uploads/2023/11/DDD_Model_Exploration_Whirlpool.png
ddd_suitcase,/wp-content/uploads/2023/10/ddd_suitcase.jpg
dscf007720-08-24-3-cropped,/wp-content/uploads/2024/11/DSCF007720-08-24-3-cropped.jpg
enwhirlpoolvsstarter,/wp-content/uploads/2024/01/ENWhirlpoolVSStarter-scaled.jpg
evelyn_van_kelle_portrait,/wp-content/uploads/2023/10/evelyn_van_kelle_portrait.jpg
favicon_weaveit,/wp-content/uploads/2023/10/favicon_weaveit.png
fw_collaborativemodeling,/wp-content/uploads/2023/10/fw_collaborativemodeling.jpg
gien_verschatse_portrait,/wp-content/uploads/2023/10/gien_verschatse_portrait.jpg
grid-bg-1,/wp-content/uploads/2023/08/grid-bg-1.png
grid-bg-2,/wp-content/uploads/2023/08/grid-bg-2.png
head-1,/wp-content/uploads/2023/08/head-1.png
icon_agile_architecture,/wp-content/uploads/2023/08/icon_agile_architecture.png
icon_agile_architecture-2,/wp-content/uploads/2023/08/icon_agile_architecture-1.png
icon_agile_architecture-3,/wp-content/uploads/2023/08/icon_agile_architecture-2.png
icon_agile_architecture_2,/wp-content/uploads/2023/08/icon_agile_architecture_2.png
icon_agile_architecture_3,/wp-content/uploads/2023/08/icon_agile_architecture_3.png
icon_assessing_architecture,/wp-content/uploads/2023/08/icon_assessing_architecture.png
icon_assessing_architecture-2,/wp-content/uploads/2023/08/icon_assessing_architecture-1.png
icon_bluesky_square_white,/wp-content/uploads/2024/11/icon_bluesky_square_white.png
icon_coaching,/wp-content/uploads/2023/08/icon_coaching.png
icon_coaching-2,/wp-content/uploads/2023/08/icon_coaching-1.png
icon_collaborative_modeling,/wp-content/uploads/2023/08/icon_collaborative_modeling.png
icon_collaborative_modeling-2,/wp-content/uploads/2023/08/icon_collaborative_modeling-1.png
icon_collaborative_modeling-3,/wp-content/uploads/2023/08/icon_collaborative_modeling-2.png
icon_instagram_square_white,/wp-content/uploads/2024/11/icon_instagram_square_white.png
icon_linkedin_square_white,/wp-content/uploads/2024/11/icon_linkedin_square_white.png
icon_mastadon_square_white,/wp-content/uploads/2024/11/icon_mastadon_square_white.png
icon_public_speaking,/wp-content/uploads/2023/08/icon_public_speaking.png
icon_public_speaking-2,/wp-content/uploads/2023/08/icon_public_speaking-1.png
icon_training,/wp-content/uploads/2023/08/icon_training.png
icon_training-2,/wp-content/uploads/2023/08/icon_training-1.png
img-20181102-wa0012,/wp-content/uploads/2025/01/IMG-20181102-WA0012.jpg
img20240116163700,/wp-content/uploads/2024/01/IMG20240116163700-scaled.jpg
joao_rosa_portrait,/wp-content/uploads/2023/11/joao_rosa_portrait.jpg
kenny,/wp-content/uploads/2023/10/kenny.png
kenny_portrait,/wp-content/uploads/2023/08/kenny_portrait.jpg
kenny_small_round_bw,/wp-content/uploads/2024/11/kenny_small_round_bw.jpg
logo_42skillz,/wp-content/uploads/2023/10/logo_42skillz.png
logo_aardling,/wp-content/uploads/2023/10/logo_aardling.png
logo_equal_experts,/wp-content/uploads/2023/10/logo_equal_experts.png
logo_impactfulness,/wp-content/uploads/2023/10/logo_impactfulness.png
logo_team_topologies,/wp-content/uploads/2023/10/logo_team_topologies.png
logo_weaveit_fc,/wp-content/uploads/2023/08/logo_weaveit_fc.png
logo_weaveit_fc-2,/wp-content/uploads/2023/10/logo_weaveit_fc.png
logo_weaveit_greenyellow,/wp-content/uploads/2023/08/logo_weaveit_greenyellow.png
logo_weaveit_white,/wp-content/uploads/2023/08/logo_weaveit_white.png
logo_weaveit_white-2,/wp-content/uploads/2023/10/logo_weaveit_white.png
logo_xebia_academy,/wp-content/uploads/2023/10/logo_xebia_academy.png
logofinal_iii_logo_gesamt,/wp-content/uploads/2023/11/Logofinal_III_logo_gesamt.png
mockupbook_csd,/wp-content/uploads/2024/07/mockupbook_csd.png
pxl_20241113_132247799-mp,/wp-content/uploads/2024/12/PXL_20241113_132247799.MP_-scaled.jpg
screenshot-2024-01-17-091251,/wp-content/uploads/2024/01/Screenshot-2024-01-17-091251.png
session-7,/wp-content/uploads/2023/11/session-7.jpeg
talks/how-cognitive-biases-and-ranking-fosters-an-ineffective-architecture-and-design/attachment/icon_slides_talk,/wp-content/uploads/2023/08/icon_slides_talk.png
talks_kenny,/wp-content/uploads/2023/11/talks_kenny.png
tech-03,/wp-content/uploads/2023/08/tech-03.jpg
training/model-driven-design-workshop/attachment/unnamed,/wp-content/uploads/2024/01/unnamed.png
training_02,/wp-content/uploads/2023/10/training_02.png
tune-hi,/wp-content/uploads/2024/02/Tune-HI.jpg
virtual-conference-03,/wp-content/uploads/2023/08/virtual-conference-03.png
